_id	budget	country	genres	imdb_score	metascore	opening_usa	production_companies	release_date	title	usa_gross	worldwide_gross
5af5ed309a5d8daabb72ba2f	215000000	USA	['Action', 'Adventure', 'Western']	6.5	37.0	29210849.0	['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Blind Wink Productions', 'Infinitum Nihil', 'Classic Media', 'Silver Bullet Productions (II)']	2013-07-03	The Lone Ranger	89302115	260502115.0
5af5ed309a5d8daabb72ba30	120000000	USA	['Action', 'Adventure', 'Sci-Fi', 'Thriller']	6.7	61.0	53113752.0	"['Twentieth Century Fox', 'Marvel Entertainment', ""Donners' Company"", 'TSG Entertainment', 'Ingenious Media', 'Big Screen Productions', 'Bad Hat Harry Productions']"	2013-07-26	The Wolverine	132556852	414828246.0
5af5ed309a5d8daabb72ba31	160000000	USA	['Action', 'Crime', 'Thriller']	7.1	61.0	97375245.0	['Universal Pictures', 'Relativity Media', 'Original Film', 'One Race Productions', 'Dentsu', 'Fuji Television Network', 'Universal Studios', 'F & F VI Productions A.I.E.', 'Etalon Film']	2013-05-24	Fast & Furious 6	238679850	788679850.0
5af5ed309a5d8daabb72ba32	43000000	USA	['Action', 'Comedy', 'Crime']	6.6	60.0	39115043.0	['Twentieth Century Fox', 'Chernin Entertainment', 'TSG Entertainment', 'Ingenious Media', 'Big Screen Productions', 'Ingenious Film Partners']	2013-06-28	The Heat	159582188	229930771.0
5af5ed309a5d8daabb72ba33	100000000	UK	['Drama', 'Sci-Fi', 'Thriller']	7.8	96.0	55785112.0	['Warner Bros.', 'Esperanto Filmoj', 'Heyday Films']	2013-10-04	Gravity	274092705	723192705.0
5af5ed309a5d8daabb72ba34	60000000	USA	['Action', 'Fantasy', 'Horror', 'Mystery', 'Romance']	5.9	33.0	9336957.0	['Constantin Film', 'Unique Features', 'Mr. Smith Productions', 'Don Carmody Productions']	2013-08-21	The Mortal Instruments: City of Bones	31165421	90565421.0
5af5ed309a5d8daabb72ba35	130000000	USA	['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']	7.5	76.0	161125000.0	['Color Force', 'Lionsgate']	2013-11-22	The Hunger Games: Catching Fire	424668047	864912963.0
5af5ed309a5d8daabb72ba36	32000000	USA	['Comedy', 'Fantasy']	6.6	67.0	20719162.0	['Columbia Pictures', 'Point Grey Pictures', 'Mandate Pictures']	2013-06-12	This Is the End	101470202	126041322.0
5af5ed309a5d8daabb72ba37	120000000	USA	['Action', 'Adventure', 'Mystery', 'Sci-Fi']	7.0	54.0	37054485.0	['Universal Pictures', 'Relativity Media', 'Monolith Pictures (III)', 'Chernin Entertainment', 'Radical Studios']	2013-04-19	Oblivion	89021735	286168572.0
5af5ed309a5d8daabb72ba38	12000000	UK	['Drama', 'Thriller']	6.8	58.0	160547.0	['Fox Searchlight Pictures', 'Indian Paintbrush', 'Scott Free Productions', 'Dayday Films', 'Ingenious Media']	2013-02-28	Stoker	1702277	9356992.0
5af5ed309a5d8daabb72ba39	13300000	UK	['Drama', 'Sci-Fi', 'Thriller']	6.3	78.0	133154.0	['Film4', 'British Film Institute (BFI)', 'Silver Reel', 'Creative Scotland', 'Sigma Films', 'FilmNation Entertainment', 'Nick Wechsler Productions', 'JW Films', 'Canal+', 'Scottish Screen', 'UK Film Council']	2014-03-14	Under the Skin	2605039	
5af5ed309a5d8daabb72ba3a	40000000	USA	['Action', 'Biography', 'Drama', 'Thriller', 'War']	7.5	60.0	84857.0	['Film 44', 'Emmett/Furla/Oasis Films (EFO Films)', 'Spikings Entertainment', 'Herrick Entertainment', 'Envision Entertainment', 'Closest to the Hole Productions', 'Leverage Management', 'Foresight Unlimited', 'Hollywood Studios', 'Knightsbridge Entertainment', 'Weed Road Pictures']	2014-01-10	Lone Survivor	125095601	154802912.0
5af5ed309a5d8daabb72ba3b	3000000	France	['Horror', 'Sci-Fi', 'Thriller']	5.7	41.0	34058360.0	['Universal Pictures', 'Platinum Dunes', 'Blumhouse Productions', 'Why Not Productions', 'Overlord Productions']	2013-06-07	The Purge	64473115	89328627.0
5af5ed309a5d8daabb72ba3c	28000000	USA	['Action', 'Comedy', 'Crime']	6.6	41.0	13332955.0	['Universal Pictures', 'Marv Films', 'Dentsu']	2013-08-16	Kick-Ass 2	28795985	63297114.0
5af5ed309a5d8daabb72ba3d	75000000	USA	['Crime', 'Mystery', 'Thriller']	7.3	50.0	29350389.0	['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']	2013-05-31	Now You See Me	117723989	351723989.0
5af5ed309a5d8daabb72ba3e	6000000	USA	['Comedy', 'Romance']	4.3	18.0	4805878.0	['Relativity Media', 'Virgin Produced', 'GreeneStreet Films', 'Wessler Entertainment', 'Witness Protection Films']	2013-01-25	Movie 43	8828771	
5af5ed309a5d8daabb72ba3f	3000000	USA	['Comedy', 'Drama', 'Romance']	6.6	66.0	8677009.0	['Voltage Pictures', 'hitRECord', 'HitRecord Films', 'Ram Bergman Productions']	2013-09-27	Don Jon	24477704	30450756.0
5af5ed309a5d8daabb72ba40	190000000	USA	['Action', 'Adventure', 'Sci-Fi']	7.8	72.0	70165559.0	['Paramount Pictures', 'Skydance Media', 'Bad Robot']	2013-05-16	Star Trek: Into Darkness	228778661	467365246.0
5af5ed309a5d8daabb72ba41	26000000	USA	['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']	6.4	45.0	20244505.0	['Paramount Pictures', 'De Line Pictures']	2013-04-26	Pain & Gain	49875291	86175291.0
5af5ed309a5d8daabb72ba42	7000000	Germany	['Comedy', 'Drama', 'Fantasy', 'Horror', 'Romance']	7.3	79.0	87989.0	['Recorded Picture Company (RPC)', 'Pandora Filmproduktion', 'Snow Wolf Produktion', 'Faliro House Productions', 'Le Pacte', 'HanWay Films', 'ARD Degeto Film', 'Lago Film', 'Neue Road Movies', 'Deutscher Filmförderfonds (DFFF)', 'Film- und Medienstiftung NRW', 'Filmförderung Hamburg Schleswig-Holstein', 'Filmförderungsanstalt (FFA)']	2013-12-25	Only Lovers Left Alive	1879534	7609187.0
5af5ed309a5d8daabb72ba43	190000000	USA	['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']	7.0	63.0	66411834.0	['Paramount Pictures', 'Skydance Media', 'Hemisphere Media Capital', 'GK Films', 'Plan B Entertainment', '2DUX²', 'Apparatus Productions', 'Latina Pictures']	2013-06-21	World War Z	202359711	540007876.0
